S.no,Player Name,Runs in Flat Pitches,Runs in Red Soil Pitches,Runs in Black Soil Pitches,Dismissals in Flat Pitches,Dismissals in Red Soil Pitches,Dismissals in Black Soil Pitches
268,AJ Strauss,2694,0,0,57,0,0
269,LA Dawson,2680,1,0,75,1,0
270,JG Bethell,2467,203,6,66,4,1
271,D Wiese,2673,0,0,83,0,0
272,V Chopra,2671,0,0,54,0,0
273,N Rana,1996,600,70,57,19,4
274,TA Blundell,2607,12,44,66,4,2
275,MG Bracewell,2640,0,0,73,0,0
276,EN Gay,2638,0,0,58,0,0
277,KIC Asalanka,2576,13,37,60,2,1
278,L Gregory,2623,0,0,84,0,0
279,NR Sciver,2394,223,0,42,5,0
280,DI Stevens,2611,0,0,65,0,0
281,Kamran Akmal,2607,0,0,68,0,0
282,MJ Santner,2488,35,73,64,3,4
283,WMH Rhodes,2589,0,0,71,0,0
284,EC Joyce,2569,0,0,52,0,0
285,DM Bravo,2303,254,6,49,4,0
286,TS Muyeye,2554,0,0,74,0,0
287,BA King,2505,37,0,78,4,0
288,MJ Cosgrove,2531,0,0,59,0,0
289,Soumya Sarkar,2517,0,0,75,0,0
290,JM Coles,2512,0,0,62,0,0
291,S Dube,1922,513,72,46,20,2
292,BG Charlesworth,2507,0,0,56,0,0
293,TT Beaumont,2438,59,0,54,3,0
294,SC Williams,2489,0,0,47,0,0
295,T Stubbs,2405,80,0,50,4,0
296,AJ Turner,2484,0,0,72,0,0
297,MD Shanaka,2301,103,68,68,2,2
298,MJ Lumb,2412,50,0,67,2,0
299,H Hameed,2459,0,0,58,0,0
300,C Green,2185,259,0,49,5,0
301,HH Gibbs,2428,13,0,41,1,0
302,NLTC Perera,2324,39,72,85,1,4
303,Tilak Varma,1771,585,74,33,24,3
304,WU Tharanga,2411,16,0,64,3,0
305,TJ Moores,2426,0,0,76,0,0
306,Imrul Kayes,2423,0,0,72,0,0
307,MA Jones,2349,71,0,64,1,0
308,NF Kelly,2419,0,0,56,0,0
309,BAC Howell,2368,0,0,76,0,0
310,M Vijay,2017,282,68,46,8,5
311,MM Lanning,2347,16,0,35,1,0
312,PI Walter,2349,0,0,79,0,0
313,L Tucker,2348,0,0,70,0,0
314,KR Mayers,2344,0,0,75,0,0
